hour,day_of_week,month,is_weekend,is_peak_hour,holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume
9,1,10,0,1,0,288.28,0.0,0.0,40,5545
10,1,10,0,0,0,289.36,0.0,0.0,75,4516
11,1,10,0,0,0,289.58,0.0,0.0,90,4767
12,1,10,0,0,0,290.13,0.0,0.0,90,5026
13,1,10,0,0,0,291.14,0.0,0.0,75,4918
14,1,10,0,0,0,291.72,0.0,0.0,1,5181
15,1,10,0,0,0,293.17,0.0,0.0,1,5584
16,1,10,0,1,0,293.86,0.0,0.0,1,6015
17,1,10,0,1,0,294.14,0.0,0.0,20,5791
18,1,10,0,1,0,293.1,0.0,0.0,20,4770
19,1,10,0,0,0,290.97,0.0,0.0,20,3539
20,1,10,0,0,0,289.38,0.0,0.0,1,2784
21,1,10,0,0,0,288.61,0.0,0.0,1,2361
22,1,10,0,0,0,287.16,0.0,0.0,1,1529
23,1,10,0,0,0,285.45,0.0,0.0,1,963
0,2,10,0,0,0,284.63,0.0,0.0,1,506
1,2,10,0,0,0,283.47,0.0,0.0,1,321
2,2,10,0,0,0,281.18,0.0,0.0,1,273
3,2,10,0,0,0,281.09,0.0,0.0,1,367
4,2,10,0,0,0,279.53,0.0,0.0,1,814
5,2,10,0,0,0,278.62,0.0,0.0,1,2718
6,2,10,0,0,0,278.23,0.0,0.0,1,5673
8,2,10,0,1,0,278.12,0.0,0.0,1,6511
9,2,10,0,1,0,282.48,0.0,0.0,1,5471
12,2,10,0,0,0,291.97,0.0,0.0,1,5097
13,2,10,0,0,0,293.23,0.0,0.0,1,4887
14,2,10,0,0,0,294.31,0.0,0.0,1,5337
15,2,10,0,0,0,295.17,0.0,0.0,1,5692
16,2,10,0,1,0,295.13,0.0,0.0,1,6137
18,2,10,0,1,0,293.66,0.0,0.0,20,4623
19,2,10,0,0,0,290.65,0.0,0.0,20,3591
20,2,10,0,0,0,288.19,0.0,0.0,20,2898
21,2,10,0,0,0,287.1,0.0,0.0,1,2637
22,2,10,0,0,0,286.25,0.0,0.0,1,1777
23,2,10,0,0,0,285.26,0.0,0.0,1,1015
0,3,10,0,0,0,284.55,0.0,0.0,1,598
1,3,10,0,0,0,283.47,0.0,0.0,1,369
2,3,10,0,0,0,283.17,0.0,0.0,1,312
3,3,10,0,0,0,282.04,0.0,0.0,1,367
4,3,10,0,0,0,281.69,0.0,0.0,1,835
5,3,10,0,0,0,281.32,0.0,0.0,1,2726
6,3,10,0,0,0,280.74,0.0,0.0,1,5689
7,3,10,0,1,0,280.57,0.0,0.0,1,6990
8,3,10,0,1,0,281.86,0.0,0.0,1,5985
9,3,10,0,1,0,284.98,0.0,0.0,1,5309
10,3,10,0,0,0,289.18,0.0,0.0,1,4603
11,3,10,0,0,0,291.55,0.0,0.0,1,4884
12,3,10,0,0,0,294.97,0.0,0.0,1,5104
13,3,10,0,0,0,296.38,0.0,0.0,1,5178
14,3,10,0,0,0,297.32,0.0,0.0,1,5501
15,3,10,0,0,0,298.17,0.0,0.0,1,5713
16,3,10,0,1,0,298.06,0.0,0.0,20,6292
17,3,10,0,1,0,297.67,0.0,0.0,20,6057
18,3,10,0,1,0,296.36,0.0,0.0,40,4907
19,3,10,0,0,0,293.85,0.0,0.0,40,3503
20,3,10,0,0,0,292.43,0.0,0.0,40,3037
21,3,10,0,0,0,291.77,0.0,0.0,75,2822
22,3,10,0,0,0,291.36,0.0,0.0,75,1992
23,3,10,0,0,0,291.12,0.0,0.0,75,1166
0,4,10,0,0,0,290.63,0.0,0.0,75,627
1,4,10,0,0,0,290.46,0.0,0.0,40,388
3,4,10,0,0,0,289.26,0.0,0.0,0,368
5,4,10,0,0,0,283.21,0.0,0.0,75,2489
6,4,10,0,0,0,282.24,0.0,0.0,90,5537
7,4,10,0,1,0,281.69,0.0,0.0,90,6628
8,4,10,0,1,0,280.57,0.0,0.0,90,5534
9,4,10,0,1,0,280.02,0.0,0.0,75,5403
10,4,10,0,0,0,280.11,0.0,0.0,75,4770
11,4,10,0,0,0,280.0,0.0,0.0,90,5217
12,4,10,0,0,0,280.53,0.0,0.0,90,5870
13,4,10,0,0,0,281.43,0.0,0.0,75,5967
14,4,10,0,0,0,281.78,0.0,0.0,90,6108
15,4,10,0,0,0,281.91,0.0,0.0,90,6128
16,4,10,0,1,0,281.73,0.0,0.0,90,6069
17,4,10,0,1,0,281.42,0.0,0.0,90,6169
18,4,10,0,1,0,280.87,0.0,0.0,90,5384
19,4,10,0,0,0,280.15,0.0,0.0,90,4063
20,4,10,0,0,0,279.78,0.0,0.0,90,3364
21,4,10,0,0,0,279.65,0.0,0.0,75,2971
22,4,10,0,0,0,279.22,0.0,0.0,40,2450
23,4,10,0,0,0,279.06,0.0,0.0,40,1832
0,5,10,1,0,0,278.81,0.0,0.0,90,1231
1,5,10,1,0,0,278.55,0.0,0.0,90,718
2,5,10,1,0,0,278.59,0.0,0.0,90,545
4,5,10,1,0,0,276.99,0.0,0.0,75,411
5,5,10,1,0,0,276.35,0.0,0.0,20,688
6,5,10,1,0,0,275.4,0.0,0.0,1,1352
7,5,10,1,1,0,275.17,0.0,0.0,1,2072
8,5,10,1,1,0,274.99,0.0,0.0,1,3342
9,5,10,1,1,0,275.09,0.0,0.0,40,4258
10,5,10,1,0,0,276.88,0.0,0.0,20,4861
11,5,10,1,0,0,278.04,0.0,0.0,20,5191
12,5,10,1,0,0,279.08,0.0,0.0,40,5669
13,5,10,1,0,0,280.12,0.0,0.0,75,5074
14,5,10,1,0,0,280.25,0.0,0.0,75,5025
15,5,10,1,0,0,280.0,0.0,0.0,75,5153
16,5,10,1,1,0,279.06,0.0,0.0,90,5024
17,5,10,1,1,0,278.91,0.0,0.0,90,4779
18,5,10,1,1,0,278.39,0.0,0.0,90,4362
19,5,10,1,0,0,278.16,0.0,0.0,90,3860
20,5,10,1,0,0,278.16,0.0,0.0,90,3160
21,5,10,1,0,0,277.93,0.0,0.0,90,2992
22,5,10,1,0,0,276.9,0.0,0.0,90,3202
23,5,10,1,0,0,276.34,0.0,0.0,75,1941
0,6,10,1,0,0,276.11,0.0,0.0,75,1233
3,6,10,1,0,0,275.73,0.0,0.0,90,323
4,6,10,1,0,0,275.65,0.0,0.0,90,312
5,6,10,1,0,0,275.51,0.0,0.0,75,627
